date,correlation,fisher_z,p_value,sample_size,user_key
29,0.5897678246195885,0.6773099907314919,0.0006037946590638084,30,190
31,0.6308671104414854,0.7428552042192477,0.00018586164844355759,30,190
33,0.6308671104414854,0.7428552042192477,0.00018586164844355759,30,190
34,0.6123724356957946,0.7127084715353065,0.00032225281915356565,30,190
35,0.5877538136452587,0.6742274450042143,0.0006371163826786486,30,190
36,0.632455532033676,0.7454981544974044,0.00017698920934117494,30,190
37,0.6831300510639732,0.8349595152938849,3.181851342634212e-05,30,190
38,0.6504436355879908,0.7760672902863777,9.975557868729942e-05,30,190
39,0.6042179781166439,0.6997640329314659,0.0004063744851645692,30,190
40,0.6042179781166439,0.6997640329314659,0.0004063744851645692,30,190
41,0.6042179781166439,0.6997640329314659,0.0004063744851645692,30,190
42,0.6042179781166439,0.6997640329314659,0.0004063744851645692,30,190
43,0.6042179781166439,0.6997640329314659,0.0004063744851645692,30,190
44,0.6042179781166439,0.6997640329314659,0.0004063744851645692,30,190
45,0.5345224838248488,0.5964553654965246,0.0023431259817498907,30,190
46,0.3713906763541037,0.39003531977071526,0.04331306852385801,30,190
47,0.3713906763541037,0.39003531977071526,0.04331306852385801,30,190
48,0.41522739926869984,0.4419112241995687,0.022502528072362884,30,190
49,0.41522739926869984,0.4419112241995687,0.022502528072362884,30,190
50,0.41522739926869984,0.4419112241995687,0.022502528072362884,30,190
51,0.41522739926869984,0.4419112241995687,0.022502528072362884,30,190
52,0.0,0.0,1.0,30,190
53,0.0,0.0,1.0,30,190
54,0.0,0.0,1.0,30,190
55,0.0,0.0,1.0,30,190
56,0.0,0.0,1.0,30,190
57,0.0,0.0,1.0,30,190
58,0.0,0.0,1.0,30,190
59,0.0,0.0,1.0,30,190
60,0.0,0.0,1.0,30,190
61,0.0,0.0,1.0,30,190
62,0.0,0.0,1.0,30,190
63,0.0,0.0,1.0,30,190
64,0.0,0.0,1.0,30,190
65,0.0,0.0,1.0,30,190
66,0.0,0.0,1.0,30,190
67,0.0,0.0,1.0,30,190
68,0.0,0.0,1.0,30,190
69,0.0,0.0,1.0,30,190
70,0.0,0.0,1.0,30,190
71,0.0,0.0,1.0,30,190
72,0.0,0.0,1.0,30,190
73,0.0,0.0,1.0,30,190
74,0.0,0.0,1.0,30,190
75,0.0,0.0,1.0,30,190
76,0.0,0.0,1.0,30,190
77,0.0,0.0,1.0,30,190
78,0.0,0.0,1.0,30,190
79,0.0,0.0,1.0,30,190
81,0.0,0.0,1.0,30,190
82,0.0,0.0,1.0,30,190
83,0.0,0.0,1.0,30,190
84,0.0,0.0,1.0,30,190
85,0.0,0.0,1.0,30,190
86,0.0,0.0,1.0,30,190
87,0.0,0.0,1.0,30,190
88,0.0,0.0,1.0,30,190
89,0.0,0.0,1.0,30,190
90,0.0,0.0,1.0,30,190
91,0.0,0.0,1.0,30,190
92,0.0,0.0,1.0,30,190
93,0.0,0.0,1.0,30,190
94,0.0,0.0,1.0,30,190
95,0.0,0.0,1.0,30,190
96,0.0,0.0,1.0,30,190
97,0.0,0.0,1.0,30,190
98,0.0,0.0,1.0,30,190
99,0.0,0.0,1.0,30,190
100,0.0,0.0,1.0,30,190
101,0.0,0.0,1.0,30,190
102,0.0,0.0,1.0,30,190
103,0.0,0.0,1.0,30,190
104,0.0,0.0,1.0,30,190
105,0.0,0.0,1.0,30,190
106,0.0,0.0,1.0,30,190
107,0.0,0.0,1.0,30,190
108,0.0,0.0,1.0,30,190
109,0.0,0.0,1.0,30,190
110,0.0,0.0,1.0,30,190
111,0.0,0.0,1.0,30,190
112,0.0,0.0,1.0,30,190
113,0.0,0.0,1.0,30,190
114,0.0,0.0,1.0,30,190
115,0.0,0.0,1.0,30,190
116,0.0,0.0,1.0,30,190
117,0.0,0.0,1.0,30,190
118,0.0,0.0,1.0,30,190
119,0.0,0.0,1.0,30,190
120,0.0,0.0,1.0,30,190
121,0.0,0.0,1.0,30,190
122,0.0,0.0,1.0,30,190
123,0.0,0.0,1.0,30,190
124,0.0,0.0,1.0,30,190
125,0.0,0.0,1.0,30,190
126,0.0,0.0,1.0,30,190
127,0.0,0.0,1.0,30,190
128,0.0,0.0,1.0,30,190
129,0.0,0.0,1.0,30,190
130,0.0,0.0,1.0,30,190
131,0.0,0.0,1.0,30,190
132,0.0,0.0,1.0,30,190
133,0.0,0.0,1.0,30,190
134,0.0,0.0,1.0,30,190
135,0.0,0.0,1.0,30,190
136,0.0,0.0,1.0,30,190
137,0.0,0.0,1.0,30,190
138,0.0,0.0,1.0,30,190
139,0.0,0.0,1.0,30,190
140,0.0,0.0,1.0,30,190
141,0.0,0.0,1.0,30,190
142,0.0,0.0,1.0,30,190
143,0.0,0.0,1.0,30,190
144,0.0,0.0,1.0,30,190
145,0.0,0.0,1.0,30,190
146,0.0,0.0,1.0,30,190
147,0.0,0.0,1.0,30,190
148,0.0,0.0,1.0,30,190
149,0.0,0.0,1.0,30,190
150,0.0,0.0,1.0,30,190
151,0.0,0.0,1.0,30,190
170,0.0,0.0,1.0,30,190
171,0.0,0.0,1.0,30,190
172,0.0,0.0,1.0,30,190
173,0.0,0.0,1.0,30,190
174,0.0,0.0,1.0,30,190
175,0.0,0.0,1.0,30,190
176,0.0,0.0,1.0,30,190
177,0.0,0.0,1.0,30,190
178,0.0,0.0,1.0,30,190
179,0.0,0.0,1.0,30,190
180,0.0,0.0,1.0,30,190
181,0.0,0.0,1.0,30,190
182,0.0,0.0,1.0,30,190
183,0.0,0.0,1.0,30,190
